first_name,last_name,title,format,link,save
 Sofie,Leenaerts,Fosfaatrecuperatie: Studie van de mogelijke afzetmarkten,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Leenaerts%20Sofie%20-%20juni2011%20-%20Fosfaatrecuperatie%20Studie%20van%20de%20mogelijke%20afzetmarkten.pdf,Leenaerts%20Sofie%20-%20juni2011%20-%20Fosfaatrecuperatie%20Studie%20van%20de%20mogelijke%20afzetmarkten.pdf
 Nathalie,Leys,"PAH-Biodegradation by Sphingomonas and Mycobacterium: study of their natural abundance, diversity and nutrient demands in PAH-contaminated soils",", 2004, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_Leys_Nathalie.pdf,Phd_Leys_Nathalie.pdf
 Gwynet,Leyre,Microbile strategien voor de behandeling van antropogene broeikasemissies,", 2009, Bachelorproject",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_leyre.pdf,Phd_leyre.pdf
 Gwynet,Leyre,Microbile inperking van methaanemissies uit anaerobe effluenten,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Leyre%20Gwynet%20-%20juni2011%20-%20Microbiele%20inperking%20van%20methaanemissies%20uit%20anaerobe%20effluenten.pdf,Leyre%20Gwynet%20-%20juni2011%20-%20Microbiele%20inperking%20van%20methaanemissies%20uit%20anaerobe%20effluenten.pdf
 Yahui,Li,"Starvation response of methane-oxidizing bacteria accumulating polyhydroxybutyrate (PHB),","2013, Thesis Master of Environmental Sanitation",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/thesis_yahui_li_environmental_sanitation.pdf,thesis_yahui_li_environmental_sanitation.pdf
 Lucas,Maes,Sediment microbile brandstofcellen in extensieve waterzuivering,", 2008, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Sediment_Microbi%C3%ABle_Brandstofcellen_in_extensieve_waterzuivering.pdf,Sediment_Microbi%C3%ABle_Brandstofcellen_in_extensieve_waterzuivering.pdf
 Synthia,Maes,Koppeling van microbile technologin en biogene nanopartikels voor de verwijdering van micropolluenten,", 2012; Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/thesis_synthia_maes.pdf,thesis_synthia_maes.pdf
 Sandra Milena,Malagon Jimenz,Co-metabolic degradation of micropollutants in drinking water,", 2013; Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u33/cometabolic_degradation_of_micropollutants_in_drinking_water_sandra_malagon.pdf,cometabolic_degradation_of_micropollutants_in_drinking_water_sandra_malagon.pdf
 Eva,Mees,De invloed van het poly-onverzadigd linolzuur op de boterzuurproductie door de darmmicrobiota,", 2012, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/u63/mees_eva.pdf,mees_eva.pdf
 Birgit,Mertens,Microbial monitoring and degradation of lindane in soil,", 2006, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/images%20wiki/Phd_mertens_birgit.pdf,Phd_mertens_birgit.pdf
 Muriel,Meunier,Combatting body odor by means of microbial transplantations,"; 2014, Thesis Bio-Engineering",/sites/default/files/userfiles/u1501/Thesis_TVDW_CC%20Nummering_CC3.pdf,Thesis_TVDW_CC%20Nummering_CC3.pdf
 Frederiek,Maarten Kerckhof,Unconventional electron donors and acceptors for microbial ecosystems,", 2011, Thesis Bio-Engineering",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Frederiek-MaartenKerckhof-IMCELB431-119264-1307706723-MasterThesis_FrederiekMaarten_Kerckhof_20102011.pdf,Frederiek-MaartenKerckhof-IMCELB431-119264-1307706723-MasterThesis_FrederiekMaarten_Kerckhof_20102011.pdf
 Francis,Meerburg,Biologically produced manganese oxides (Bio-MnOx) and silver nanoparticles (Bio-Ag0) for the catalytic degradation of organic micropollutants,", 2011, Master in Biology",http://www.labmet3.ugent.be/drupal/sites/default/files/images/theses/Francis%20Meerburg%20Thesis.pdf,Francis%20Meerburg%20Thesis.pdf
 Mara de Lourdes,Mendoza S.,Application of the Gradual Concentric Chambers (GCC) reactor for low investment sewage treatment in developing countries,", 2011, PhD thesis",http://www.labmet3.ugent.be/drupal/sites/default/files/images/maria_de_lourdes_mendoza_solarzano.pdf,maria_de_lourdes_mendoza_solarzano.pdf
