,code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number
882,315750.8,Bacillus pumilus SAFR-032,Bacillus,pumilus,Bacillus pumilus,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74
883,749546.3,Escherichia coli MS 185-1,Escherichia,coli,Escherichia coli,tannery;sediment;turkey;dairy;cave;river;mucus;soil;feces;milk;marsh;mountain;compost,13
884,350054.11,Mycobacterium gilvum PYR-GCK,Mycobacterium,gilvum,Mycobacterium gilvum,soil;water;blood;lake;biofilm;river;wash;lymph;sludge;sediment;bone;hospital;rock;air;mine;stream;permafrost;wetland,18
885,379731.5,Pseudomonas stutzeri A1501,Pseudomonas,stutzeri,Pseudomonas stutzeri,sea;soil;air;sludge;plateau;cave;lake;rhizosphere;river;water;gut;sewage;wetland;field;sediment;well;wwtp;ocean;stream;sandstone;biofilm;straw;glacier;mine;permafrost;fruit;spring;grassland;piggery;oil;mucus;aquifer;grove;spinach;harbor;waste;reservoir;lagoon;surface;beef;channel;rock;compost;pond;canal;cabbage;wash;elevation;wood;flat;beer;milk;sand;mud;egg;farm;garden;hole,58
886,455488.5,Anaeromyxobacter dehalogenans 2CP-1,Anaeromyxobacter,dehalogenans,Anaeromyxobacter dehalogenans,harbor;soil;garden,3
887,246201.6,Streptococcus mitis NCTC 12261,Streptococcus,mitis,Streptococcus mitis,biofilm;air;mouth;milk;surface;meat;field;yogurt;soil;chicken;harbor;sludge;feces;bioreactor;blood;chyme,16
888,455488.3,Anaeromyxobacter dehalogenans 2CP-1,Anaeromyxobacter,dehalogenans,Anaeromyxobacter dehalogenans,harbor;soil;garden,3
889,436114.3,Sulfurihydrogenibium sp. YO3AOP1,Sulfurihydrogenibium,sp.,Sulfurihydrogenibium sp.,spring;hotspring,2
890,436114.4,Sulfurihydrogenibium sp. YO3AOP1,Sulfurihydrogenibium,sp.,Sulfurihydrogenibium sp.,spring;hotspring,2
891,581103.3,Geobacillus sp. Y4.1MC1,Geobacillus,sp.,Geobacillus sp.,soil;spring;milk;field;ocean;hotspring;oil;compost;sea;sediment;sugar;lake,12
