id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,celaantal,gini_thas,gini_wittebolle,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,count,pathogen
59,2000,2.00E+05,1000,1000,20000,2000,1.00E+05,2000,1000,10000,0.471105955,339000,0.698042371,0.767846608,200,200,100,100,200,200,100,200,100,100,10000,1.00E+06,10000,10000,1.00E+05,10000,1.00E+06,10000,10000,1.00E+05,7,LMG7866
60,8823.529412,17647.05882,1764.705882,17647.05882,176470.5882,88235.29412,1764.705882,1764.705882,1764.705882,882.3529412,0.536555621,316764.7059,0.665738162,0.732311978,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,88.23529412,1.00E+05,1.00E+05,10000,1.00E+05,1.00E+06,1.00E+06,10000,10000,10000,10000,13,LMG7866
61,1.00E+05,1.00E+05,2.00E+05,2.00E+05,1.00E+05,2.00E+05,2.00E+05,1.00E+06,2.00E+05,1.00E+05,0.83811541,2400000,0.363636364,0.4,100,100,200,200,100,200,200,100,200,100,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+07,1.00E+06,1.00E+06,4,LMG7866
62,2.00E+05,1.00E+05,1.00E+05,2.00E+05,1.00E+05,1.00E+05,2.00E+05,2.00E+05,2.00E+05,1.00E+06,0.83811541,2400000,0.363636364,0.4,200,100,100,200,100,100,200,200,200,100,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+07,5,LMG7866
63,17647.05882,882352.9412,176470.5882,176470.5882,176470.5882,176470.5882,176470.5882,88235.29412,176470.5882,88235.29412,0.827097765,2135294.118,0.376408715,0.414049587,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,176.4705882,88.23529412,176.4705882,88.23529412,1.00E+05,1.00E+07,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,0,LMG7866
64,176470.5882,176470.5882,88235.29412,882352.9412,176470.5882,88235.29412,176470.5882,17647.05882,176470.5882,176470.5882,0.827097765,2135294.118,0.376408715,0.414049587,176.4705882,176.4705882,88.23529412,88.23529412,176.4705882,88.23529412,176.4705882,176.4705882,176.4705882,176.4705882,1.00E+06,1.00E+06,1.00E+06,1.00E+07,1.00E+06,1.00E+06,1.00E+06,1.00E+05,1.00E+06,1.00E+06,0,LMG7866
65,214285.7143,107142.8571,107142.8571,214285.7143,107142.8571,107142.8571,1071428.571,214285.7143,214285.7143,107142.8571,0.822239142,2464285.714,0.383399209,0.42173913,214.2857143,107.1428571,107.1428571,214.2857143,107.1428571,107.1428571,107.1428571,214.2857143,214.2857143,107.1428571,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+07,1.00E+06,1.00E+06,1.00E+06,3,LMG7866
66,157894.7368,157894.7368,157894.7368,157894.7368,15789.47368,789473.6842,157894.7368,157894.7368,15789.47368,157894.7368,0.816290157,1926315.789,0.375558867,0.413114754,157.8947368,157.8947368,157.8947368,157.8947368,157.8947368,78.94736842,157.8947368,157.8947368,157.8947368,157.8947368,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+05,1.00E+07,1.00E+06,1.00E+06,1.00E+05,1.00E+06,0,LMG7866
67,187500,93750,93750,187500,187500,937.5,187500,937500,187500,187500,0.814279709,2250937.5,0.385861951,0.424448147,187.5,93.75,93.75,187.5,187.5,93.75,187.5,93.75,187.5,187.5,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,10000,1.00E+06,1.00E+07,1.00E+06,1.00E+06,0,LMG7866
68,93750,937500,187500,187500,187500,93750,187500,187500,937.5,187500,0.814279709,2250937.5,0.385861951,0.424448147,93.75,93.75,187.5,187.5,187.5,93.75,187.5,187.5,93.75,187.5,1.00E+06,1.00E+07,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,1.00E+06,10000,1.00E+06,0,LMG7866
