id,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,evenness,cellcount,gini_thas,gini_wittebolle,LMG7866,LMG3203,LMG7878,LMG2954,replica
131,8823.529412,176470.5882,17647.05882,17647.05882,176470.5882,17647.05882,176470.5882,8823.529412,17647.05882,8823.529412,0.717877508,626470.5882,0.510883483,0.561971831,6,17,9,12,1
132,176470.5882,882.3529412,882.3529412,17647.05882,1764705.882,1764.705882,1764.705882,882.3529412,17647.05882,176470.5882,0.292713532,2159117.647,0.759780065,0.835758071,11,11,3,23,1
133,10714.28571,1071.428571,21428.57143,107142.8571,1071.428571,214285.7143,21428.57143,2142.857143,107142.8571,107142.8571,0.716706048,593571.4286,0.532326879,0.585559567,2,8,7,18,1
134,1363.636364,1363.636364,13636.36364,136363.6364,272727.2727,13636.36364,1363.636364,1363636.364,1363636.364,1363.636364,0.491792923,3169090.909,0.675794085,0.743373494,16,15,5,2,1
135,1875,1875000,187500,9375,1875,9375,937.5,9375,187500,1875,0.287028623,2284687.5,0.760659529,0.836725482,13,8,8,13,1
136,2142.857143,1071.428571,2142.857143,10714.28571,214285.7143,107142.8571,1071.428571,107142.8571,21428.57143,10714.28571,0.614736834,477857.1429,0.617203424,0.678923767,0,1,12,10,1
137,20000,200000,20000,1000,20000,20000,1000,100000,1000000,1000,0.418993981,1383000,0.715112075,0.786623283,4,10,7,27,1
138,1071.428571,107142.8571,2142.857143,107142.8571,2142857.143,10714.28571,10714.28571,2142.857143,21428.57143,1071.428571,0.2128146,2406428.571,0.778272484,0.856099733,15,10,10,19,1
139,9375,1875,93750,9375,18750,1875,187500,9375,1875000,18750,0.281331047,2225625,0.760435016,0.836478517,3,10,2,23,1
140,200000,200000,20000,10000,20000,1000,100000,1000,20000,100000,0.731426121,672000,0.524080087,0.576488095,18,8,8,17,1
141,1764.705882,882.3529412,1764.705882,8823.529412,1764.705882,8823.529412,1764705.882,17647.05882,17647.05882,17647.05882,0.108248864,1841470.588,0.795443656,0.874988021,10,5,15,16,1
142,1875,1875,18750,9375,187500,93750,18750,18750,937500,93750,0.489072844,1381875,0.682003207,0.750203528,16,8,2,20,1
143,1153.846154,23076.92308,2307.692308,1153846.154,23076.92308,1153.846154,115384.6154,1153.846154,11538.46154,1153846.154,0.427348314,2486538.462,0.697869648,0.767656613,0,20,6,17,1
144,1875,1875,1875,93750,937.5,9375,93750,1875,1875,187500,0.550134117,394687.5,0.645864824,0.710451306,18,10,6,32,1
145,1875,93750,18750,1875,9375,1875,187500,187500,93750,93750,0.749705561,690000,0.495059289,0.544565217,7,8,6,19,1
146,2142857.143,10714.28571,107142.8571,107142.8571,2142.857143,10714.28571,10714.28571,2142.857143,107142.8571,2142.857143,0.271783553,2502857.143,0.756070984,0.831678082,0,10,43,17,1
147,1250,1250,125000,125000,125000,125000,2500,1250000,2500,125000,0.520982927,1882500,0.631896656,0.695086321,0,13,9,10,1
148,1875000,1875,187500,937.5,93750,1875,1875,9375,18750,93750,0.309263092,2284687.5,0.752452718,0.827697989,11,12,11,14,1
149,115384.6154,1153.846154,115384.6154,23076.92308,2307.692308,11538.46154,1153846.154,11538.46154,1153846.154,230769.2308,0.560732039,2818846.154,0.642912961,0.707204257,6,13,9,18,1
150,17647.05882,17647.05882,1764.705882,88235.29412,176470.5882,176470.5882,17647.05882,88235.29412,17647.05882,882.3529412,0.747895875,602647.0588,0.508052709,0.55885798,0,5,14,21,1
151,214285.7143,214285.7143,1071.428571,214285.7143,107142.8571,1071.428571,1071.428571,2142.857143,1071.428571,1071428.571,0.546621432,1827857.143,0.643397634,0.707737397,6,5,24,13,1
152,11538.46154,2307692.308,23076.92308,1153.846154,1153.846154,115384.6154,11538.46154,1153.846154,2307.692308,1153.846154,0.140258492,2476153.846,0.797000763,0.876700839,0,10,9,14,1
153,18750,9375,18750,9375,187500,187500,187500,9375,9375,1875,0.673577253,639375,0.546787523,0.601466276,5,4,20,12,1
154,1000,100000,1000000,20000,200000,100000,20000,2000,2000,1000,0.453770424,1446000,0.702124984,0.772337483,8,10,10,16,1
155,88235.29412,8823.529412,882352.9412,17647.05882,1764.705882,1764.705882,1764.705882,1764.705882,17647.05882,17647.05882,0.277877005,1039411.765,0.757987344,0.833786078,0,14,4,24,1
156,15000,1500000,1500,150000,15000,15000,1500,15000,150000,1500,0.32697314,1864500,0.744459884,0.818905873,4,5,6,30,1
157,187500,937.5,937.5,1875,1875,18750,1875,1875000,9375,9375,0.188943651,2107500,0.788822388,0.867704626,6,13,10,25,1
158,1875,18750,937.5,937500,93750,937500,18750,18750,187500,18750,0.538311429,2234062.5,0.652996605,0.718296265,12,12,9,12,1
159,15789.47368,1578.947368,1578.947368,15789.47368,1578947.368,157894.7368,15789.47368,157894.7368,7894.736842,15789.47368,0.334443158,1968947.368,0.740613837,0.814675221,7,4,8,19,1
