code_name,full_name,first_name,second_name,abbreviated_name,locations,location_number,file_name
360094.3,Xanthomonas oryzae pv. oryzae PXO99A,Xanthomonas,oryzae,Xanthomonas oryzae,sludge;lake;soil;surface;plateau;biofilm;tannery,7,360094.3.txt
443143.3,Geobacter sp. M18,Geobacter,sp.,Geobacter sp.,pasture;harbor;rhizosphere;soil,4,443143.3.txt
360094.4,Xanthomonas oryzae pv. oryzae PXO99A,Xanthomonas,oryzae,Xanthomonas oryzae,sludge;lake;soil;surface;plateau;biofilm;tannery,7,360094.4.txt
411486.3,Clostridium sp. M62/1,Clostridium,sp.,Clostridium sp.,soil;feces;sludge;bog;field;spring;water;dung;lake;dairy;gut;silage;waste;leachate;blood;bioreactor;straw;bile;sediment;food;river;flat;compost;reservoir;mud;meat;sand;mine;hotspring;faeces,30,411486.3.txt
528353.5,Neisseria gonorrhoeae FA6140,Neisseria,gonorrhoeae,Neisseria gonorrhoeae,water;biofilm;air;mouth,4,528353.5.txt
527031.3,Bacillus thuringiensis serovar berliner ATCC 10792,Bacillus,thuringiensis,Bacillus thuringiensis,rhizosphere;sediment;permafrost;volcano;soil;spring;gut;milk;field;plateau;landfill;well;city;sea;stream;forest;elevation;ocean;lake;grassland;biofilm;food;sludge;carcass;surface;rock;marsh;waste;farm;wetland;flat;compost;water;river;pond;straw;air;cabbage;sand;mine;mud;dust;mucus;fish;vegetable;mountains;valley;oil;aquifer;textile;sewage;cave;silage;hospital;wood;estuary;stalactite;harbor;sausage;dune;mouth;shore;reservoir;flour;feces;dung;chicken;cantaloupe;clam;waterfall;bioreactor;canal;bog;garden,74,527031.3.txt
243275.1,Treponema denticola ATCC 35405,Treponema,denticola,Treponema denticola,gut;mouth;dairy,3,243275.1.txt
243275.7,Treponema denticola ATCC 35405,Treponema,denticola,Treponema denticola,gut;mouth;dairy,3,243275.7.txt
390874.12,Thermotoga petrophila RKU-1,Thermotoga,petrophila,Thermotoga petrophila,field;sea;wells;spring;borehole;bioreactor;biofilm,7,390874.12.txt
166314.3,Synechococcus sp. WH 8109,Synechococcus,sp.,Synechococcus sp.,surface;waste;water;spring,4,166314.3.txt
